ID;Name;Sub_ID;Sub_Name;Field_ID;Field_Name;Domain_ID;Domain_Name;Keywords_1;Keywords_2;Keywords_3;Keywords_4;Keywords_5;Keywords_6;Keywords_7;Keywords_8;Keywords_9;Keywords_10
T10446;Income Inequality and Poverty Dynamics;3312;Sociology and Political Science;33;Social Sciences;2;Social Sciences;Income Inequality;Poverty Measurement;Capability Approach;Human Development;Wealth Distribution;Globalization;Social Justice;Economic Growth;Multidimensional Poverty;Gender Inequality
T10373;Kidney Transplantation;2747;Transplantation;27;Medicine;4;Health Sciences;Kidney Transplantation;Renal Allograft;Immunosuppressive Drugs;Antibody-Mediated Rejection;Graft Survival;Chronic Allograft Nephropathy;HLA Antibodies;Tacrolimus Pharmacogenetics;Delayed Graft Function;Donor-Specific Antibodies
T10256;Drug Delivery Systems;3003;Pharmaceutical Science;30;Pharmacology, Toxicology and Pharmaceutics;1;Life Sciences;Cyclodextrins;Solid Dispersions;Nanosuspensions;Lipid-Based Formulations;Drug Solubility;Oral Delivery;Biopharmaceutics Classification System;Amorphous Pharmaceuticals;Polymeric Materials;Gastrointestinal Drug Absorption
T11416;Numerical Integration Methods for Differential Equations;2612;Numerical Analysis;26;Mathematics;3;Physical Sciences;Numerical Integration;Differential Equations;Exponential Integrators;Symplectic Methods;Time-Stepping Schemes;Variational Integrators;Matrix Exponential;Runge-Kutta Methods;Schrödinger Equation;Hamiltonian Systems
T10436;Anesthesia and Sedation Management;2703;Anesthesiology and Pain Medicine;27;Medicine;4;Health Sciences;Anesthesia;Sedation;Dexmedetomidine;Bispectral Index Monitoring;Neuromuscular Blockade;Pharmacokinetics;Pediatric Anesthesia;Propofol;Consciousness Monitoring;Endoscopic Sedation
T10327;Adolescent Sexual Health and Behavior Patterns;3600;General Health Professions;36;Health Professions;4;Health Sciences;Adolescent Health;Sexual Behavior;HIV Prevention;Risk Factors;Youth Risk Behavior;Sex Education;Contraceptive Use;Parent-Adolescent Communication;Gender Inequalities;Social Determinants of Health
T12010;Theory-based Evaluation of Complex Interventions;1803;Management Science and Operations Research;18;Decision Sciences;2;Social Sciences;Theory-Based Evaluation;Concept Mapping;Realist Synthesis;Evaluation Capacity Building;Logic Models;Empowerment Evaluation;Program Theory;Complexity Theory;Evidence-Based Policy;Participatory Evaluation
T11323;Gamma-Ray Bursts and Supernovae Connections;3103;Astronomy and Astrophysics;31;Physics and Astronomy;3;Physical Sciences;Gamma-Ray Bursts;Supernovae;Neutron Stars;Kilonova;Nucleosynthesis;Astrophysical Flashes;High-Mass Stars;Gravitational Waves;Type Ia Supernovae;Cosmic Explosions
T11880;Estimation of Forest Biomass and Carbon Stocks;2309;Nature and Landscape Conservation;23;Environmental Science;3;Physical Sciences;Allometric Models;Biomass Estimation;Carbon Stocks;Tropical Forests;Tree Allometry;Forest Site Productivity;Aboveground Biomass;Tree Height-Diameter Models;Stand Density;Climate Change Impact
T10265;Translanguaging Pedagogy in Multilingual Education;3310;Linguistics and Language;33;Social Sciences;2;Social Sciences;Translanguaging;Multilingualism;Language Policy;Bilingual Education;Cultural Sustaining Pedagogy;Language Ideologies;Heritage Language Maintenance;Sociolinguistics;Language Rights;Linguistic Landscape
T10873;Epidemiology and Pathogenesis of Bacterial Meningitis;2404;Microbiology;24;Immunology and Microbiology;1;Life Sciences;Bacterial Meningitis;Neisseria meningitidis;Vaccine;Outer Membrane Vesicles;Pathogenesis;Epidemiology;Pertussis;Immunity;Molecular Mechanisms;Clinical Management
T10744;Astrophysical Studies of Black Holes;3103;Astronomy and Astrophysics;31;Physics and Astronomy;3;Physical Sciences;Black Holes;X-Ray Astronomy;Accretion Disks;Event Horizon Telescope;Galactic Center;Gravitational Lensing;Stellar Orbits;Magnetic Fields;Relativistic Jets;X-Ray Spectroscopy
T10295;Plasmonics and Nanophotonics Research;2204;Biomedical Engineering;22;Engineering;3;Physical Sciences;Plasmonics;Nanophotonics;Surface Plasmons;Graphene;Metamaterials;Nanoantennas;Resonance;Biosensors;Terahertz;Optical Modulators
T10730;Language Development and Acquisition in Children;3204;Developmental and Educational Psychology;32;Psychology;2;Social Sciences;Language Development;Speech and Language Disorder;Bilingualism;Statistical Learning;Child-Directed Speech;Specific Language Impairment;Early Vocabulary Development;Social Interaction;Syntax Processing;Neural Plasticity
T10889;Soil Erosion and Agricultural Sustainability;1111;Soil Science;11;Agricultural and Biological Sciences;1;Life Sciences;Soil Erosion;Agricultural Sustainability;Land Use Change;Sediment Transport Models;Ecohydrological Processes;Soil Degradation;Runoff and Erosion;Global Carbon Budget;Suspended Sediments;Gully Erosion
T10254;Transformation of Medical Education and Professionalism;2739;Public Health, Environmental and Occupational Health;27;Medicine;4;Health Sciences;Competency-based Education;Professional Identity Formation;Assessment Methods;Continuing Medical Education;Reflective Practice;Clinical Skills Development;Faculty Development;E-Learning in Healthcare;Patient-Oriented Learning;Leadership in Medicine
T10553;Dynamics of Turbulent Combustion Systems;2206;Computational Mechanics;22;Engineering;3;Physical Sciences;Large-Eddy Simulation;Turbulent Flames;Combustion Instabilities;Premixed Combustion;Flame Dynamics;Microscale Combustion;Heat Transfer;Chemical Kinetics;Swirl-Stabilized Combustion;Thermoacoustic Instabilities
T10674;Inequality in Education: Impact of Socioeconomic Status;3304;Education;33;Social Sciences;2;Social Sciences;Socioeconomic Status;Student Achievement;Teacher Quality;School Segregation;Peer Effects;Educational Inequality;School Choice;Academic Achievement;Teacher Performance Pay;Education Policy
T10440;Thermoelectric Materials;2505;Materials Chemistry;25;Materials Science;3;Physical Sciences;Thermoelectric;Materials;Performance;Nanostructured;High-Temperature;Figure of Merit;Bulk Alloys;Energy Harvesting;Electrical Transport;Waste Heat Recovery
T10671;Diagnosis and Management of Gastroesophageal Reflux Disease;2715;Gastroenterology;27;Medicine;4;Health Sciences;Gastroesophageal Reflux Disease;Esophageal Motility Disorders;Proton Pump Inhibitors;Achalasia;Epidemiology;Hiatal Hernia;Laryngopharyngeal Reflux;Pediatric Guidelines;Ambulatory Monitoring;Complications
T10649;Diagnosis and Treatment of Multiple Myeloma;2720;Hematology;27;Medicine;4;Health Sciences;International Myeloma Working Group;Diagnosis Criteria;Staging System;Novel Therapies;Autologous Transplantation;Genomic Abnormalities;Proteasome Inhibitors;Immunomodulatory Drugs;Minimal Residual Disease;Bone Marrow Microenvironment
T10682;Quantum Computing and Simulation;1702;Artificial Intelligence;17;Computer Science;3;Physical Sciences;Quantum Computation;Quantum Information;Quantum Algorithms;Fault-tolerant Quantum Computation;Quantum Machine Learning;Quantum Simulation;Variational Quantum Algorithms;Adiabatic Quantum Computation;Quantum Error Correction;Topological Quantum Memory
T10779;Importance of Mangrove Ecosystems in Coastal Protection;2303;Ecology;23;Environmental Science;3;Physical Sciences;Mangrove Forests;Coastal Protection;Carbon Sequestration;Sea-Level Rise;Ecosystem Services;Wetland Restoration;Climate Change;Tidal Wetlands;Salt Marshes;Global Carbon Budget
T10832;Diagnosis and Management of Pituitary Disorders;2712;Endocrinology, Diabetes and Metabolism;27;Medicine;4;Health Sciences;Pituitary Adenomas;Cushing's Syndrome;Acromegaly;Craniopharyngiomas;Hormonal Replacement;Endoscopic Surgery;Somatostatin Analogues;Prolactinomas;Growth Hormone;Pituitary Tumors
T10586;Sampling-Based Motion Planning Algorithms;1707;Computer Vision and Pattern Recognition;17;Computer Science;3;Physical Sciences;Sampling-Based Algorithms;Optimal Motion Planning;Path Planning;Collision Avoidance;Robot Navigation;Real-Time Planning;Kinodynamic Planning;Probabilistic Roadmaps;Multi-Agent Systems;Autonomous Vehicles
T11924;Polyamines and Biogenic Amines in Biology and Health;1312;Molecular Biology;13;Biochemistry, Genetics and Molecular Biology;1;Life Sciences;Polyamines;Biogenic Amines;Metabolism;Cancer;Aging;Autophagy;Cellular Functions;Plant Development;Therapeutic Applications;Food Quality
T10982;Computational Principles of Motor Control and Learning;2805;Cognitive Neuroscience;28;Neuroscience;1;Life Sciences;Motor Control;Sensorimotor Learning;Feedback Control;Neural Basis;Motor Skill;Cerebellum;Muscle Synergies;Visuomotor Integration;Implicit Learning;Neuroplasticity
T11279;Lanthanide Luminescence in Biomedical Applications;2505;Materials Chemistry;25;Materials Science;3;Physical Sciences;Lanthanide Luminescence;MRI Contrast Agents;Gadolinium Deposition;Bioimaging Probes;Chemical Exchange Saturation Transfer;Nephrogenic Systemic Fibrosis;Luminescent Hybrid Materials;Europium Complexes;Molecular Imaging;Lanthanide Coordination Complexes
T11079;The Study of Creativity and Innovation;3205;Experimental and Cognitive Psychology;32;Psychology;2;Social Sciences;Creativity;Innovation;Cognitive Processes;Neuroscience;Psychology;Education;Problem Solving;Personality Traits;Cultural Influence;Brain Activity
T11047;Gender Diversity and Leadership in Organizations;3318;Gender Studies;33;Social Sciences;2;Social Sciences;Gender Diversity;Leadership;Board Diversity;Workplace Bias;Organizational Performance;Team Diversity;Stereotypes;Corporate Governance;Inclusion;Glass Ceiling
T10928;Uncertainty Quantification and Sensitivity Analysis;1804;Statistics, Probability and Uncertainty;18;Decision Sciences;2;Social Sciences;Uncertainty Quantification;Sensitivity Analysis;Polynomial Chaos;Monte Carlo Simulation;Reliability Analysis;Stochastic Differential Equations;Global Sensitivity Indices;Sparse Grids;Latin Hypercube Sampling;Probabilistic Design Optimization
T10824;Shape Matching and Object Recognition;1707;Computer Vision and Pattern Recognition;17;Computer Science;3;Physical Sciences;Shape Matching;Content-Based Image Retrieval;Texture Classification;Local Binary Patterns;Feature Descriptors;Semantic Relevance;Rotation Invariant;Medical Applications;Machine Learning;Image Annotation
T11668;Innate Immunity to Viral Infection;2403;Immunology;24;Immunology and Microbiology;1;Life Sciences;Innate Immunity;Viral Infection;Interferon Signaling;Pattern Recognition Receptors;cGAS-STING Pathway;RIG-I-like Receptors;Antiviral Response;Type I Interferons;Immune Sensing;Inflammatory Disease
T12002;Computational Complexity and Algorithmic Information Theory;1703;Computational Theory and Mathematics;17;Computer Science;3;Physical Sciences;Algorithmic Information Theory;Computability;Kolmogorov Complexity;Randomness;Turing Machines;Compression-based Distance;Universal Intelligence;Computational Depth;Fractal Dimension;Causal Discovery
T11094;Neural Mechanisms of Face Perception and Recognition;2805;Cognitive Neuroscience;28;Neuroscience;1;Life Sciences;Face Perception;Neural Mechanisms;Visual Cortex;Emotional Expressions;fMRI Data;Social Cognition;Object Recognition;Facial Identity;Cortical Processing;Emotion Recognition
T12852;Thermochemical Properties of Organic Compounds;1605;Organic Chemistry;16;Chemistry;3;Physical Sciences;Enthalpies;Vaporization;Sublimation;Calorimetry;Thermodynamics;Organic Compounds;Atomic Weights;Standard Molar Enthalpies;Heat Capacities;Vapor Pressures
T11677;Molecular Mechanisms of Cardiac Development and Regeneration;1312;Molecular Biology;13;Biochemistry, Genetics and Molecular Biology;1;Life Sciences;Cardiomyocyte Renewal;Heart Regeneration;Cardiac Progenitor Population;Congenital Heart Defects;Endothelial Cell-Lineage Analysis;Neural Crest;Epicardial Progenitors;Wnt Signaling;T-Box Genes;MicroRNA Therapy
T10459;Epidemiology and Management of Sexual Dysfunction;2738;Psychiatry and Mental health;27;Medicine;4;Health Sciences;Sexual Dysfunction;Erectile Dysfunction;Female Sexual Function;Hypoactive Sexual Desire Disorder;Androgen Therapy;Cardiovascular Disease;Menopause;Psychological Interventions;Endothelial Function;Global Study
T10514;Fracture Mechanics Modeling and Simulation;2211;Mechanics of Materials;22;Engineering;3;Physical Sciences;Fracture;Meshless Methods;Extended Finite Element Method;Peridynamics;Phase-Field Modeling;Radial Basis Functions;Crack Propagation;Brittle Materials;Discontinuities;Structural Mechanics
T10284;Anaerobic Digestion and Biogas Production;2215;Building and Construction;22;Engineering;3;Physical Sciences;Anaerobic Digestion;Biogas Production;Methanogenic Archaea;Hydrogen Production;Waste-to-Energy;Microbial Community;Bioenergy;Fermentation;Waste Treatment;Renewable Energy
T10469;Reciprocal Development of TH17 and Treg Cells;2403;Immunology;24;Immunology and Microbiology;1;Life Sciences;IL-17;TH17 Cells;Interleukin-23;Autoimmune Inflammation;Psoriasis;TGF-ß;Regulatory T Cells;Inflammatory Cytokines;Pathogenic Effector Cells;Immune System
T11786;Magnetosome Formation in Prokaryotes;1312;Molecular Biology;13;Biochemistry, Genetics and Molecular Biology;1;Life Sciences;Magnetosome Formation;Geomagnetic Field;Magnetotactic Bacteria;Paleomagnetic Data;Dynamo Simulations;Magnetic Properties;Biomineralization;Secular Variation;Geomagnetic Model;Environmental Magnetism
T10392;Melanoma;2730;Oncology;27;Medicine;4;Health Sciences;Melanoma;Dermoscopy;Skin Cancer;Sentinel Lymph Node Biopsy;Genetic Alterations;Immunotherapy;Tumor Staging;Deep Learning;Survival Analysis;Epidemiology
T10760;Diagnosis and Management of Pancreatitis;2746;Surgery;27;Medicine;4;Health Sciences;Acute Pancreatitis;Chronic Pancreatitis;Pancreatic Disease;Endoscopic Drainage;Severity Assessment;Genetic Factors;Inflammatory Mediators;Organ Failure;Nutritional Support;Epidemiology
T10420;Pathophysiology and Management of Cerebral Aneurysms;2728;Neurology;27;Medicine;4;Health Sciences;Aneurysmal Subarachnoid Hemorrhage;Intracranial Aneurysms;Endovascular Treatment;Cerebral Vasospasm;Hemodynamics;Neurosurgical Clipping;Flow Diversion;Wall Shear Stress;Delayed Cerebral Ischemia;Cerebrovascular Complications
T11231;Microbial Fuel Cells and Electrogenic Bacteria Technology;2305;Environmental Engineering;23;Environmental Science;3;Physical Sciences;Microbial Fuel Cells;Extracellular Electron Transfer;Electrogenic Bacteria;Electricity Generation;Bioelectrochemical Systems;Wastewater Treatment;Electron Transfer Mechanisms;Shewanella and Geobacter;Nanowires;Hydrogen Production
T10717;Metal Matrix Composites: Science and Applications;2210;Mechanical Engineering;22;Engineering;3;Physical Sciences;Metal Matrix Composites;Reinforcement;Nanoparticles;Mechanical Properties;Graphene;Carbon Nanotubes;Processing Techniques;Microstructure;Friction Stir Processing;Aluminum Alloy
T12827;Nucleotide Metabolism and Enzyme Regulation;1312;Molecular Biology;13;Biochemistry, Genetics and Molecular Biology;1;Life Sciences;Nucleotide Metabolism;Enzyme Regulation;Purine Biosynthesis;Pyrimidine Biosynthesis;Metabolic Enzymes;Transition State Analogue Inhibitors;CTP Synthase;IMP Dehydrogenase;Dihydroorotate Dehydrogenase;Lesch-Nyhan Syndrome
T10400;Network Intrusion Detection and Defense Mechanisms;1705;Computer Networks and Communications;17;Computer Science;3;Physical Sciences;Intrusion Detection;Network Security;Machine Learning;DDoS Attacks;Anomaly Detection;IoT Security;Cybersecurity;Data Mining;Deep Learning;Botnet Detection
T10696;Gastric Cancer Research and Treatment;2740;Pulmonary and Respiratory Medicine;27;Medicine;4;Health Sciences;Gastric Cancer;Chemotherapy;Endoscopic Resection;Molecular Characterization;Lymph Node Dissection;Adjuvant Therapy;Clinical Practice Guidelines;Neoadjuvant Chemotherapy;Metastatic Gastric Cancer;Survival Analysis
T10188;Advanced Monitoring of Machining Operations;2210;Mechanical Engineering;22;Engineering;3;Physical Sciences;Machining;Surface Integrity;Tool Wear;Cutting Parameters;Metal Cutting;Chatter Vibration;Minimum Quantity Lubrication;Composite Materials;High Speed Machining;Surface Roughness
T10870;Idiopathic Pulmonary Fibrosis: Diagnosis and Management;2740;Pulmonary and Respiratory Medicine;27;Medicine;4;Health Sciences;Idiopathic Pulmonary Fibrosis;Fibrosis;Interstitial Lung Disease;TGF-ß;Myofibroblast;Pirfenidone;Nintedanib;Epithelial-Mesenchymal Transition;Lung Fibrosis;Bronchoalveolar Lavage
T10385;Evolution and Classification of Flowering Plants;1105;Ecology, Evolution, Behavior and Systematics;11;Agricultural and Biological Sciences;1;Life Sciences;Angiosperm Phylogeny;Flowering Plants;Biogeography;Diversification;Phylogenetics;Evolutionary History;Taxonomy;Molecular Phylogeny;Plant Diversity;Historical Biogeography
T11845;DNA Topoisomerases: Structure, Function, and Inhibition;1312;Molecular Biology;13;Biochemistry, Genetics and Molecular Biology;1;Life Sciences;Topoisomerases;DNA;Inhibitors;Chemotherapy;Genetic Variants;Irinotecan;Quinolones;Anticancer Drugs;Enzyme Mechanism;Genomic Stability
T10956;Chemistry and Applications of Fullerenes;1605;Organic Chemistry;16;Chemistry;3;Physical Sciences;Fullerenes;Endohedral Fullerenes;Photosensitization;Nanoscience;Photovoltaic Devices;Molecular Systems;Electron Transfer;Biomedical Applications;Supramolecular Chemistry;Carbon Nanotubes
T11844;Lipid Metabolism and Storage in Organisms;1303;Biochemistry;13;Biochemistry, Genetics and Molecular Biology;1;Life Sciences;Lipid Droplets;Triacylglycerol Synthesis;Adipose Tissue Lipolysis;Glycerolipids;Fatty Acid Biosynthesis;Phospholipid Metabolism;Diacylglycerol Acyltransferase;Perilipin Proteins;Seed Oil Production;Chloroplast Lipid Biogenesis
T11144;Melanin Pigmentation in Mammalian Skin;1307;Cell Biology;13;Biochemistry, Genetics and Molecular Biology;1;Life Sciences;Melanin;Pigmentation;Melanocyte;Regulation;Tyrosinase;UV Damage;Skin Color;Genetics;Vitiligo;Adaptation
T10733;Genetic Diversity and Breeding of Wheat;1110;Plant Science;11;Agricultural and Biological Sciences;1;Life Sciences;Wheat;Genetics;Breeding;Disease Resistance;Genomic Diversity;Yield Potential;Polyploid Wheat;QTL Mapping;Genome Sequencing;Crop Improvement
T10562;Projections and Outcomes of Arthroplasty Surgery in the US;2746;Surgery;27;Medicine;4;Health Sciences;Arthroplasty;Total Knee Replacement;Total Hip Replacement;Patient Satisfaction;Revision Surgery;Epidemiology;Outcomes;Alignment;Complications;Health-Related Quality of Life
T10658;Epidemiology and Treatment of Bone Fractures;2713;Epidemiology;27;Medicine;4;Health Sciences;Fracture Epidemiology;Bone Healing;Fracture Classification;Internal Fixation;Nonunion;Infection Prevention;Biomechanics;Pediatric Fractures;Soft Tissue Management;Limb Reconstruction
T10704;Innovations in Transdermal Drug Delivery Systems;3003;Pharmaceutical Science;30;Pharmacology, Toxicology and Pharmaceutics;1;Life Sciences;Solid Lipid Nanoparticles;Microneedles;Skin Penetration Enhancers;Nanostructured Lipid Carriers;Transdermal Drug Delivery;Skin Barrier Function;Microemulsion-based Drug Delivery;Iontophoretic Drug Delivery;Skin Permeation Enhancement;Stratum Corneum
T10772;Distributed Fault Tolerance and Consistency in Systems;1705;Computer Networks and Communications;17;Computer Science;3;Physical Sciences;Fault Tolerance;Distributed Systems;Consistency;Transactional Memory;Byzantine Fault Tolerance;Checkpointing;Replication;Concurrency Control;Failure Prediction;Software Aging
T11480;Structure and Function of Gap Junctions and Connexins;1312;Molecular Biology;13;Biochemistry, Genetics and Molecular Biology;1;Life Sciences;Gap Junctions;Connexins;Pannexins;Cell Communication;Channel Regulation;Neuronal Synchronization;Cataract Formation;Astrocyte Function;Hemichannels;Ocular Diseases
T11159;Design for Manufacture and Assembly in Manufacturing;2209;Industrial and Manufacturing Engineering;22;Engineering;3;Physical Sciences;Design for Manufacture;Assembly Planning;Disassembly Sequencing;CAD/CAM Integration;Process Planning;Tolerance Analysis;Virtual Prototyping;Fixture Design;Product Cost Estimation;Collaborative Manufacturing
T10435;Life Cycle Assessment and Environmental Impact Analysis;2305;Environmental Engineering;23;Environmental Science;3;Physical Sciences;Life Cycle Assessment;Environmental Impact;Carbon Footprint;Water Footprint;Embodied Energy;Input-Output Analysis;Decomposition Analysis;Sustainability Assessment;Global Trade;Greenhouse Gas Emissions
T11153;Global Burden of Group A Streptococcal Diseases;2739;Public Health, Environmental and Occupational Health;27;Medicine;4;Health Sciences;Streptococcus Pyogenes;Necrotizing Fasciitis;Rheumatic Heart Disease;Soft Tissue Infections;Pathogenesis;Virulence Factors;Pharyngitis;Toxins;Immunoglobulin Therapy;Epidemiology
T11901;Model-Based Clustering with Mixture Models;1702;Artificial Intelligence;17;Computer Science;3;Physical Sciences;Mixture Models;Clustering;Bayesian Inference;Dirichlet Process;Gaussian Mixture Models;Variational Inference;Markov Chain Monte Carlo;Finite Mixtures;Hidden Markov Models;Nonparametric Bayesian
T11533;Mammalian MAP Kinase Signaling Pathways;1312;Molecular Biology;13;Biochemistry, Genetics and Molecular Biology;1;Life Sciences;MAP Kinase;BRAF gene;Melanoma;Signal Transduction;ERK pathway;Cancer Therapy;MEK Inhibition;Cell Proliferation;Oncogenic Mutations;Immune Response
T10615;Dynamics of Granular Flow Systems;2206;Computational Mechanics;22;Engineering;3;Physical Sciences;Granular Flows;Discrete Particle Simulation;Fluidized Beds;DEM Modeling;Particle Dynamics;Rheology;Gas-Solid Flow;Powder Technology;Continuous Processing;Pharmaceutical Manufacturing
T10509;Impact of Religion and Spirituality on Health Outcomes;3306;Health;33;Social Sciences;2;Social Sciences;Religion;Spirituality;Health;Coping;Mental Health;Well-being;Quality of Life;End-of-Life Care;Social Support;Psychological Adjustment
T10386;High-Strength Steel Materials;2210;Mechanical Engineering;22;Engineering;3;Physical Sciences;High-Strength Steels;Microstructure;Martensite Transformation;Austenite Stability;Strain Hardening;TRIP/TWIP Steels;Dislocation Density;Nanoprecipitation;Bainite Formation;Grain Refinement
T10495;Catalytic Carbon Dioxide Hydrogenation;1503;Catalysis;15;Chemical Engineering;3;Physical Sciences;Catalytic;Hydrogenation;Carbon Dioxide;Renewable Fuels;Methanol Synthesis;Fischer-Tropsch Catalysts;CO2 Conversion;Renewable Hydrogen;Dry Reforming;Syngas Production
T10695;Global Impact of Helminth Infections and Control Strategies;2405;Parasitology;24;Immunology and Microbiology;1;Life Sciences;Helminth Infections;Schistosomiasis;Soil-Transmitted Helminths;Neglected Tropical Diseases;Immunomodulation;Parasite Control;Disease Burden;Praziquantel;Immune Regulation;Global Epidemiology
T11400;Self-Determination Theory in Human Motivation and Well-Being;3207;Social Psychology;32;Psychology;2;Social Sciences;Self-Determination Theory;Intrinsic Motivation;Autonomy Support;Psychological Needs;Motivational Climate;Well-Being;Exercise Motivation;Goal Pursuits;Social Development;Teacher Strategies
T11245;Isogeometric Analysis in Computational Engineering;2206;Computational Mechanics;22;Engineering;3;Physical Sciences;NURBS;Finite Elements;CAD;Mesh Refinement;T-splines;Structural Analysis;Fluid-structure Interaction;Shape Optimization;Boundary Element Method;CNC Machining
T10621;Stochasticity in Gene Regulatory Networks;1312;Molecular Biology;13;Biochemistry, Genetics and Molecular Biology;1;Life Sciences;Stochastic Gene Expression;Gene Regulatory Networks;Synthetic Biology;Cellular Noise;Systems Biology;Network Inference;Genetic Circuits;Biochemical Modeling;Cell Signaling Dynamics;Single-Cell Analysis
T10421;Human Evolution and Behavioral Modernity;3314;Anthropology;33;Social Sciences;2;Social Sciences;Hominin Genetics;Paleolithic Archaeology;Modern Human Origins;Neanderthal Genome;Early Hominid Fossils;Pleistocene Extinctions;Stone Tool Technology;Ancient Human Behavior;Cultural Innovation;Genomic History
T11346;Role of Mast Cells in Immunoregulation and Disease;2403;Immunology;24;Immunology and Microbiology;1;Life Sciences;Mast Cells;Allergic Disease;Immune Responses;Histamine;Basophils;T Cell Activation;Inflammation;Cytokines;Receptor Tyrosine Kinase;Mastocytosis
T11118;Evolutionary Psychology of Human Behavior and Attraction;3205;Experimental and Cognitive Psychology;32;Psychology;2;Social Sciences;Evolutionary Psychology;Human Behavior;Attractiveness;Mate Preferences;Life History Theory;Facial Perception;Sexual Selection;Testosterone;Adaptation;Social Cognition
T10289;European Integration and Governance Dynamics;3320;Political Science and International Relations;33;Social Sciences;2;Social Sciences;European integration;governance;European Union;normative power;political dynamics;multi-level;compliance;democratic deficit;party positions;institutionalization
T10750;Microbial Interactions in Wine Production and Flavor;1106;Food Science;11;Agricultural and Biological Sciences;1;Life Sciences;Wine Yeasts;Microbial Modulation;Aroma Compounds;Polyphenols;Fermentation;Saccharomyces cerevisiae;Grape Metabolism;Flavor Profile;Biogenic Amines;Microbial Terroir
T10718;Theoretical Perspectives on Global Justice;3320;Political Science and International Relations;33;Social Sciences;2;Social Sciences;Global Justice;Human Rights;Cosmopolitanism;Equality;Distributive Justice;Democratic Theory;Rawlsian Justice;Multiculturalism;Social Responsibility;International Law
T12880;Development and Application of Grounded Theory Methodology;3304;Education;33;Social Sciences;2;Social Sciences;Grounded Theory;Qualitative Research;Data Analysis Software;Constructivist Approach;Theoretical Sampling;Coding Process;Research Design;Symbolic Interactionism;Methodological Issues;Literature Review
T11721;Blood Rheology and Coagulation Mechanisms;2740;Pulmonary and Respiratory Medicine;27;Medicine;4;Health Sciences;Fibrinogen;Transglutaminases;Red Blood Cells;Hemodynamics;Clot Structure;Microcirculation;Rheology;Thrombin Generation;Viscosity;Hemostasis
T11690;Aqueous Zinc-Ion Battery Technology;2208;Electrical and Electronic Engineering;22;Engineering;3;Physical Sciences;Aqueous Zinc-Ion Batteries;Energy Storage;Rechargeable Batteries;Zinc Anode;Redox Flow Batteries;Electrolyte Design;Cathode Materials;High Energy Density;Metal Ion Batteries;Grid Storage
T10449;Renal Cell Carcinoma;2740;Pulmonary and Respiratory Medicine;27;Medicine;4;Health Sciences;Renal Cell Carcinoma;Metastatic;Treatment;Therapy;Prognostic Factors;Molecular Characterization;Nephron-Sparing Surgery;Immunotherapy;Genetic Mutations;Clinical Guidelines
T11294;Composition and Health Effects of Human Milk;2916;Nutrition and Dietetics;29;Nursing;4;Health Sciences;Human Milk Composition;Preterm Infants;Necrotizing Enterocolitis;Oligosaccharides;Lactoferrin;Growth Outcomes;Microbiota Development;Probiotics;Nutritional Significance;Immune Development
T11852;Applications of Clay Nanotubes in Various Fields;2502;Biomaterials;25;Materials Science;3;Physical Sciences;Clay Nanotubes;Halloysite;Montmorillonite;Drug Delivery;Nanocomposites;Biomedical Applications;Surface Modification;Encapsulation;Release Control;Tissue Engineering
T10270;Blockchain and Internet of Things Integration;1710;Information Systems;17;Computer Science;3;Physical Sciences;Blockchain;Internet of Things;Smart Contracts;Security;Supply Chain Management;Decentralization;Cryptocurrencies;Privacy;Energy Sector;Healthcare
T10246;Ad Hoc Wireless Networks Research;1705;Computer Networks and Communications;17;Computer Science;3;Physical Sciences;Ad Hoc Networks;Wireless Mesh Networks;Routing Protocols;Mobile Ad Hoc Networks;Multi-hop Wireless Routing;Security in Wireless Networks;Topology Control;Channel Assignment;Power Control;Mobility Models
T11269;Text Compression and Indexing Algorithms;1702;Artificial Intelligence;17;Computer Science;3;Physical Sciences;Compression;Suffix Arrays;Text Indexing;Data Structures;String Matching;Genomic Data;Entropy;Hashing;Approximate Matching;Algorithms
T11495;Viral Diseases in Livestock and Poultry;1103;Animal Science and Zoology;11;Agricultural and Biological Sciences;1;Life Sciences;Coronavirus;Porcine Reproductive and Respiratory Syndrome Virus;Circovirus;Avian Infectious Bronchitis Virus;Vaccine;Pathogenesis;Epidemiology;Genomic Sequencing;Immune Response;Metagenomics
T10811;Materials and Methods for Hydrogen Storage;2505;Materials Chemistry;25;Materials Science;3;Physical Sciences;Hydrogen Storage;Materials;Metal Hydrides;Chemical Hydrogen Storage;Nanomaterials;Catalysts;Ammonia Borane;Nanostructured Carbon;Hydrogen Generation;Nanoparticles
T11877;Solar Water Splitting Technology;2105;Renewable Energy, Sustainability and the Environment;21;Energy;3;Physical Sciences;Hematite;Photoelectrodes;Water Splitting;Nanostructures;Photoelectrochemical;Solar;Nanorods;Catalysis;Surface Charging;Photooxidation
T11546;Physiology and Management of Fruit Trees;1110;Plant Science;11;Agricultural and Biological Sciences;1;Life Sciences;Fruit Trees;Dormancy;Chilling Requirement;Rootstock;Carbohydrate Metabolism;Climate Change;Growth Regulation;Flowering;Orchard Management;Nutrient Uptake
T11040;Personality Traits and Their Impacts on Life Outcomes;3203;Clinical Psychology;32;Psychology;2;Social Sciences;Personality Traits;Big Five;Self-Esteem;Narcissism;Psychopathy;Longitudinal Studies;Social Behavior;Mental Health;Cross-Cultural;Life Span Development
